Event ID,city,latitude,longitude
174,Ginatilan,7.050475,124.634024
175,Lalitpur,27.549842,85.333524
176,Marib,15.45639,45.324871
177,Bannu,32.984057,70.613998
178,Ouro Mari,12.57511,14.454017
179,Manbij,36.380825,38.178571
180,Dusong Machae,6.231605,101.501419
181,Shaktoi,32.582086,70.06193
182,Damascus,33.515242,36.292083
183,Damascus,33.515242,36.292083
184,Bardere,2.349308,42.280336
185,Dufis,12.828622,44.796322
186,Aden,12.849085,45.037275
187,Unknown,12.875104,45.011261
188,Sirwah,15.449888,45.018687
189,Sanaa,15.325444,44.211895
190,Baghdad,33.303567,44.371771
191,Taizz,13.586484,44.024105
192,Taizz,13.586484,44.024105
193,Zard Khak,36.731911,70.14396
194,Baghdad,33.303567,44.371771
195,Mirtur,18.881486,81.152792
196,Bagacay,12.0592,124.61495
197,Wambache,11.276421,14.247683
198,Mogadishu,2.059818,45.326114
199,Zangal,35.22645,71.528005
200,Gardez,33.598634,69.228998
201,Awamiyah,26.587351,49.984146
202,Raqqah,35.951521,39.009562
203,Anantnag district,33.705026,75.247849
204,Karachi,24.891116,67.143312
205,Sui,28.633307,69.190371
206,Beyoglu district,41.038457,28.97006
207,Alif Berdi,37.215806,68.996048
208,Ban Ba-ngo Ngueba,6.142229,101.649514
209,Suq al-Thulatha,32.407892,14.622688
210,Derna,32.765539,22.621115
211,Giza,30.022924,31.185193
212,Al-Midan,31.062082,33.812483
213,Ras Lanuf,30.491794,18.54712
214,Mogadishu,2.059818,45.326114
215,Mogadishu,2.059818,45.326114
216,Anka,14.685051,24.849351
217,Madain,33.100528,44.584493
218,Baghdad,33.303567,44.371771
219,Jhenaidah,23.545313,89.172276
220,Qaysar district,35.641896,64.266921
221,Miriki,-0.710704,29.055307
222,Goof Gaduud,3.312293,43.472128
223,Philadelphia,40.008171,-75.135489
224,Paris,48.856642,2.34233
225,Samarra,34.208416,43.890713
226,Baghdad,33.303567,44.371771
227,Baghdad,33.303567,44.371771
228,Baghdad,33.303567,44.371771
229,Mosul,36.354146,43.143571
230,Dandabadi,18.723419,82.209718
231,Alon Shvut,31.653435,35.125639
232,Beit Einun,31.566133,35.129595
233,Konta,17.812075,81.38304
234,Sagrada,13.358975,123.291464
235,Shaheedano Dhand,33.511488,70.296379
236,Imphal,24.797922,93.940517
237,Unknown,17.25564,42.727309
